text,Pattern Category
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Sneaking 
Awntech New Yorker Window/Entry Slope Awnin ...,Not Dark Pattern
45 ADDED TO BAG IN THE PAST 24 HOURS,Sneaking 
87% offers claimed. Hurry up!,Bait and switch
HURRY! £32.99 UK DELIVERY ENDS SOON,Hidden costs
ONLY 3 LEFT,Bait and switch
8 items left,Bait and switch
19 people viewed this product per day,Sneaking 
 Irwin ,Not Dark Pattern
96 ITEM(S) LEFT IN STOCK!,Bait and switch
__________,Not Dark Pattern
Only 1 left In Stock,Bait and switch
Availability: Only 4 Left!,Bait and switch
 Personalised Gifts ,Not Dark Pattern
A customer service specialist will contact you soon.,Not Dark Pattern
Your order is reserved for 09:54 minutes!,Hidden costs
 Screws & Other Fixings ,Not Dark Pattern
Use the domain shortly after payment,Not Dark Pattern
Office Supplies & Decor,Not Dark Pattern
This size has only 1 left in stock,Bait and switch
Arrow,Not Dark Pattern
Returns an Item,Not Dark Pattern
HOT PRODUCT Over 250 people are looking at this item.,Sneaking 
I don't want to save money,Forced continuity
HURRY! ONLY 2 LEFT IN STOCK!,Bait and switch
Hair type: Curly,Not Dark Pattern
DEAL ENDS IN 40:55:13,Hidden costs
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Sneaking 
Only 1 Left,Bait and switch
Search for similiar products,Not Dark Pattern
Only 33 left,Bait and switch
FAMILY SHADE PACK | PICK YOUR PACK,Not Dark Pattern
Promaster City Remotes,Not Dark Pattern
"Hurry, only a few left!",Bait and switch
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,Not Dark Pattern
Only 11 left!,Bait and switch
Hurry! Only 6 left in stock,Bait and switch
40 users are currently active on our website just now.,Sneaking 
Hair Tools,Not Dark Pattern
Email Address*,Not Dark Pattern
 Send Us Your Jersey ,Not Dark Pattern
 View All Home Office Furniture ,Not Dark Pattern
Search Result:Search Results: ,Not Dark Pattern
90% offers claimed. Hurry up!,Bait and switch
Tube Tops,Not Dark Pattern
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",Sneaking 
Hair type: Wavy,Not Dark Pattern
7 people looked at this product in the last 24 hours.,Sneaking 
Glow Gear,Not Dark Pattern
18 In Stock,Bait and switch
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Sneaking 
00:15:07:45,Hidden costs
"No, I'll rather pay full price.",Forced continuity
Only 9 Left.,Bait and switch
Deals of the Week,Not Dark Pattern
" ... It covers love and loss, friendship and pain through ",Not Dark Pattern
1 person is viewing this,Sneaking 
Your order is reserved for 09:14 minutes! ,Hidden costs
" Gift TypeFlowers, Cakes, Plants, etc. ",Not Dark Pattern
 CAMILLA World ,Not Dark Pattern
Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading,Not Dark Pattern
Fun Treat Tossing,Not Dark Pattern
Limited time remaining!,Hidden costs
"No thanks, I'll pay full price",Forced continuity
Your shopping bag is empty...,Not Dark Pattern
Trousers & Chinos,Not Dark Pattern
Only 7 left in stock!,Bait and switch
Only 5 item(s) left.,Bait and switch
 Chargers ,Not Dark Pattern
(only 5 left),Bait and switch
 Eyelashes ,Not Dark Pattern
Pick the price that matches your budget. ,Not Dark Pattern
"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",Not Dark Pattern
Child Safety,Not Dark Pattern
 Cosmic Rainbow ,Not Dark Pattern
NRA Annual Meetings & Exhibits,Not Dark Pattern
ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes,Not Dark Pattern
 Moonstone Beads ,Not Dark Pattern
I'll Shop Without A Discount,Forced continuity
Only 11 Left In Stock,Bait and switch
 Netherlands Antilles USD,Not Dark Pattern
Was this product description useful?YesNo,Not Dark Pattern
Returns Information,Not Dark Pattern
TiesToys & GamesTravelWatches,Not Dark Pattern
Bought by 39 people in last few hours! HOT SELLER!,Sneaking 
Books and Stationery,Not Dark Pattern
Your order is reserved for 08:48 minutes!,Hidden costs
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,Hidden costs
 Bioactive Custodians ,Not Dark Pattern
 Most-Hearted Styles Shop Now ,Not Dark Pattern
 Use a clean vase and clean water.,Not Dark Pattern
" well, this is awkward. ",Not Dark Pattern
@elsieandpresley_ got some fantastic color results with our Hair Color Wax. Well done 👏,Not Dark Pattern
 All Licensed ,Not Dark Pattern
Nursing chairs,Not Dark Pattern
Only 1 Item(s) left,Bait and switch
Discount pending $10 OFF 00:30:00,Hidden costs
Juniors' Shoes,Not Dark Pattern
Limited Time: $10 Off! Discount Reflected In Price!,Hidden costs
Switchers,Not Dark Pattern
 Data Processor Privacy Policy: https://cookieinformation.com/cookie-and-privacy-policy ,Not Dark Pattern
Ribbons,Not Dark Pattern
"By clicking Sign Up, you agree to receive marketing text messages from Southern Tide at the number provided, including messages sent by autodialer. Consent is not a condition of any purchase. Message and data rates may apply. Message frequency varies. Reply HELP for help or STOP to cancel. View our Privacy Policy and Terms of Service.",Not Dark Pattern
IN 43 PEOPLE'S SHOPPING BAG,Sneaking 
 Amethyst Beads ,Not Dark Pattern
Down Jackets,Not Dark Pattern
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Hidden costs
"BERNARD in Philadelphia, United States purchased a",Sneaking 
"NO THANKS, I DON’T MIND MISSING OUT",Forced continuity
"Hurry, only 1 left!",Bait and switch
Only 26 Left,Bait and switch
7 sold in last 24 hours,Sneaking 
Buy Wearables»,Not Dark Pattern
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Hidden costs
 Watercolour Brushes Toggle category Watercolour Brushes ,Not Dark Pattern
LightInTheBox 掲載記事,Not Dark Pattern
Clear filter,Not Dark Pattern
HURRY UP > 09H 42M 39S,Hidden costs
 Sweats ,Not Dark Pattern
Q: Will this damage my hair?,Not Dark Pattern
Brandon Blackwood,Not Dark Pattern
"Someone in Sasebo, Japan just bought",Sneaking 
80 Customers are considering this product right now.,Sneaking 
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Sneaking 
 End Tables,Not Dark Pattern
ONLY 2 LEFT IN STOCK!,Bait and switch
Only few items left in stock,Bait and switch
Only 1.75 yards left in stock!,Bait and switch
" Brilliant! Chose what I wanted, and came a week later. Very happy with my purchase ",Not Dark Pattern
71 people have purchased this item,Sneaking 
Only 8 left,Bait and switch
Subscribe & Save,Forced continuity
"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",Not Dark Pattern
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Sneaking 
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Sneaking 
00DAYS00HOURS14MINUTES21SECONDS,Hidden costs
"Great prices, professional customer services",Not Dark Pattern
Carnival Remotes,Not Dark Pattern
Hurry! Only 1 left in size M!!,Bait and switch
Items in your cart are in high demand.,Bait and switch
 VIP Points! ,Not Dark Pattern
Root Touch Up + Brow Filler,Not Dark Pattern
Limited stock Only 2 left,Bait and switch
" Looks like your cart is empty, let's fix that! ",Not Dark Pattern
Over 500 left in stock,Bait and switch
Lasers ,Not Dark Pattern
Choose your payment day. View your schedule and select pay now.,Not Dark Pattern
Hurry up! 6 people other than you have this product in their cart,Sneaking 
 E-Gift Cards ,Not Dark Pattern
1 LEFT,Bait and switch
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Sneaking 
 Personalised Chocolates ,Not Dark Pattern
Shop Dresses by Occasion,Not Dark Pattern
I do not want to protect my item,Forced continuity
Add to Your Gift and We'll Ship it For Free!,Forced continuity
Wallets ,Not Dark Pattern
 Exclusive offers & discounts for club members via email ,Not Dark Pattern
Buy with humm.,Not Dark Pattern
" Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living ",Not Dark Pattern
Synthesis E-MTB Carbon Wheelset,Not Dark Pattern
"25,439 people have viewed this item",Sneaking 
No thanks I definitely measured correctly,Forced continuity
57 PEOPLE HAVE LOOKED AT THIS TODAY,Sneaking 
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Sneaking 
Women's ApparelCollection ,Not Dark Pattern
"Before you check out, can we tempt you?",Forced continuity
 Women's Sandals ,Not Dark Pattern
 Plant-Based Beauty ,Not Dark Pattern
"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",Sneaking 
 Frame out of stock in this colour,Not Dark Pattern
Hair Care Sets,Not Dark Pattern
Limited quantity remaining,Bait and switch
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,Not Dark Pattern
"128 sold today! Hurry, only a few left!",Bait and switch
4 people are looking at this right now.,Sneaking 
"No thanks, I dont want a discount",Forced continuity
"Someone from Portland, United States (US) purchased MODALERT recently.",Sneaking 
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Hidden costs
2 people are viewing this,Sneaking 
HURRY! ONLY 1 IN STOCK!,Bait and switch
Printed ,Not Dark Pattern
Patient Transfer Devices,Not Dark Pattern
 Summer Casual Printed Loosen Short Sleeve T-Shirt ,Not Dark Pattern
 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,Not Dark Pattern
LAST CHANCE TO ACTIVATE 10% OFF,Bait and switch
Your order is reserved for 09:45 minutes!,Hidden costs
only 5 left,Bait and switch
78 Persons looking for this product,Sneaking 
 Heart Shaped Cake ,Not Dark Pattern
227 Bought Already,Sneaking 
You've made the starting lineup. Be on the look out for an exclusive offer for signing up.,Not Dark Pattern
Universal Fit Collapsible Smart Phone Stand,Not Dark Pattern
Hurry! Only Limited Items Left,Bait and switch
現代奴隷法に対する透明性に関する声明 (opens in a new tab),Not Dark Pattern
Strong demand! Complete your order before it's too late!,Bait and switch
Your order is reserved for 09:56 minutes!,Hidden costs
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Sneaking 
Gift Wrapping Supplies,Not Dark Pattern
6 others have already bought this deal today!,Sneaking 
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",Sneaking 
info@coolhockey.com,Not Dark Pattern
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",Hidden costs
 Safe & Secure Checkout ,Not Dark Pattern
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",Sneaking 
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Sneaking 
Wall Mounted Air Conditioners,Not Dark Pattern
"803 Claimed! Hurry, only a few left!",Bait and switch
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",Sneaking 
Only 2 left!,Bait and switch
3 PEOPLE VIEWING,Sneaking 
"No thanks, I’d rather pay full price.",Forced continuity
Product Feature,Not Dark Pattern
Plant-based Protein,Not Dark Pattern
Parad Combo Deals ,Not Dark Pattern
Last Shape Guide,Not Dark Pattern
 Baby & Toddler Toys ,Not Dark Pattern
Shipping Insurance Remove Insurance,Sneaking 
Clocks ,Not Dark Pattern
 Cat's Eye Beads ,Not Dark Pattern
Shop now. Pay later. Always interest-free,Not Dark Pattern
Stay with us in India,Not Dark Pattern
No thanks. I don’t want deals.,Forced continuity
Wyse Thin Client,Not Dark Pattern
AdjustableBucketHeadbandsSale Items- View All -,Not Dark Pattern
 Every bicycle tells a story ,Not Dark Pattern
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",Not Dark Pattern
Add and save!,Forced continuity
Intercoms & Doorbells,Not Dark Pattern
Boys Purple School Uniforms,Not Dark Pattern
RECENTLY VIEWED 2 others viewed this in the last few hours,Sneaking 
2 viewed per hour,Sneaking 
1 other customers have this item in their shopping cart,Sneaking 
ONLY A FEW LEFT IN STOCK,Bait and switch
1day21:04:58,Hidden costs
Fashion Forms,Not Dark Pattern
Stock Low : 6 items left.,Bait and switch
"NO, I'LL PAY FULL PRICE",Forced continuity
Terrarium Light Canopies,Not Dark Pattern
"HURRY, LOW IN STOCK!",Bait and switch
Only 4 copies left,Bait and switch
2 LEFT,Bait and switch
Feedback,Not Dark Pattern
2 DAYS 13:06:13,Hidden costs
Receive news and updates on new products,Not Dark Pattern
5338 people bought this,Sneaking 
2 left in stock,Bait and switch
 dFresh - Fresh Products ,Not Dark Pattern
Thanks! -RMO Team,Not Dark Pattern
"6,743 people have viewed recently",Sneaking 
Selling fast!,Bait and switch
Welcome To Hotter us,Not Dark Pattern
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Hidden costs
" To enable notifications, click 'Allow' when prompted. ",Not Dark Pattern
 PHX Mercury ,Not Dark Pattern
Easy Release Cleat Kit,Not Dark Pattern
111 people have purchased this item,Sneaking 
Flowers Trivia:,Not Dark Pattern
Your order is reserved for 09:58 minutes!,Hidden costs
I've recommended The Keeper of Lost Things to everyone.,Not Dark Pattern
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,Hidden costs
"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",Sneaking 
Celebrity Synthetic Wigs,Not Dark Pattern
1626 people seeing this product right now,Sneaking 
"Book picture is for illustrative purposes only, actual binding, cover or edition may vary.",Not Dark Pattern
 Glow Gear ,Not Dark Pattern
Converse,Not Dark Pattern
Stay Connected,Not Dark Pattern
Only 1 left in Stock,Bait and switch
sales@ecklers.net,Not Dark Pattern
0 Days 2 Hours 57 Minutes 53 Seconds,Hidden costs
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,Sneaking 
Only 34 Left!,Bait and switch
"William in Pago Pago, United States purchased a",Sneaking 
"No thanks, I don’t like fun and games.",Forced continuity
"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?",Forced continuity
Explore The NRA Universe Of Websites,Not Dark Pattern
New In Special Occasion,Not Dark Pattern
"› New Year, New Kit Sale",Not Dark Pattern
"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",Hidden costs
 Title of Review ,Not Dark Pattern
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,Not Dark Pattern
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,Hidden costs
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,Hidden costs
Cellular/Honeycomb Shades,Not Dark Pattern
113 people have viewed in the last 24hrs,Sneaking 
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,Not Dark Pattern
"Jamie in Nashville, United States purchased",Sneaking 
"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",Sneaking 
Don't miss out! We've sold 38 in the last few days.,Sneaking 
"No, thank you. I prefer to pay the full price",Forced continuity
"No Thanks, I don't like exclusive deals.",Forced continuity
Loading interface...,Not Dark Pattern
 SAF Warriors ,Not Dark Pattern
 Lens Manual Washer ,Not Dark Pattern
"No thanks, I'd like 0% off",Forced continuity
Warm Tips,Not Dark Pattern
 Our Carbon Footprint ,Not Dark Pattern
 Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse ,Not Dark Pattern
Uncheck the box if you prefer not to receive email updates.,Forced continuity
| Add to Compare,Not Dark Pattern
"No Thanks, I Don't Want a Free Gift",Forced continuity
 World of Sweats ,Not Dark Pattern
This item is in high demand.,Bait and switch
Cargo Trousers,Not Dark Pattern
Hair Bundles With Closure,Not Dark Pattern
BreakThrough,Not Dark Pattern
ONLY 1 LEFT! GET IT NOW!,Bait and switch
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",Sneaking 
ShopClose menu,Not Dark Pattern
Used Rifles,Not Dark Pattern
ONLY 4 LEFT,Bait and switch
Limited quantity! ,Bait and switch
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,Forced continuity
Hurry! Only 15 left!,Bait and switch
 Motocross Boots ,Not Dark Pattern
 Remove Product? ,Not Dark Pattern
 Nursery ,Not Dark Pattern
Footwear Accessories,Not Dark Pattern
Only a few more left!,Bait and switch
0011Days:0088Hours:4411Minutes:21125445Seconds,Hidden costs
and future features included!,Not Dark Pattern
69 people are viewing this,Sneaking 
Only 4 items left in stock.,Bait and switch
Natural Backgrounds,Not Dark Pattern
Speed Lace Accessory Kit - Orange,Not Dark Pattern
"No Thanks, I Prefer Paying Full Price",Forced continuity
"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.",Not Dark Pattern
"Ends in 1 Days, 4 Minutes, 44 Seconds",Hidden costs
In Stock - Limited Quantity,Bait and switch
on Freight,Not Dark Pattern
Canvas Wall Art,Not Dark Pattern
Only 8 left in stock. Almost Gone!,Bait and switch
JFN V Neck Lace Cut-Out Basic T-Shirt/Tee,Not Dark Pattern
or,Not Dark Pattern
 Short Sleeve Dresses ,Not Dark Pattern
"Limited time only: FREE SHIPPING on all orders, no minimum required!",Hidden costs
"No thanks, I don't like promotions and exclusive content.",Forced continuity
 Shop All Lehenga Choli ,Not Dark Pattern
Lack Of Color,Not Dark Pattern
 Eye Protection,Not Dark Pattern
10 Left,Bait and switch
 REPLACE-WITH-DYANMIC-HOST-ID,Not Dark Pattern
TVs,Not Dark Pattern
Only 2 left,Bait and switch
Temporary Tattoos,Not Dark Pattern
3Days01:49:51 Left,Hidden costs
Log in / Create an account,Not Dark Pattern
Your order is reserved for 07:28 minutes!,Hidden costs
" is full of sorrow and joy that weaves the life stories of its characters, exploring relationships, illness and loss * Manchester Weekly News *",Not Dark Pattern
OH SO POPULAR! 21 bought in the last 7 days.,Sneaking 
"No Thanks, I'll Pay Full Price",Forced continuity
Card Storage,Not Dark Pattern
2 customers recently bought it,Sneaking 
Only 1 left in stock,Bait and switch
Horizon Wide Neck Sweatshirt,Not Dark Pattern
All Womens Accessories,Not Dark Pattern
Only 1 left in stock! Get in quick!,Bait and switch
Strip Softbox,Not Dark Pattern
You left 2 items in your bag Released in: 29 minutes :07 seconds,Hidden costs
Your first payment will be due on the day of your purchase.*,Not Dark Pattern
7 people have it in their cart,Sneaking 
Pre-order 3 left,Bait and switch
Offer ends in 15hrs 1min 56sec!,Hidden costs
"Hurry, this style is selling fast!",Bait and switch
 Glows In The Dark ,Not Dark Pattern
Towel Rails & Racks,Not Dark Pattern
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",Not Dark Pattern
"Hurry, only 3 left!",Bait and switch
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,Hidden costs
Quick Release,Not Dark Pattern
Blonde/Bleached Hair: All colors look great. Silver won't be prominent on bleached hair though.,Not Dark Pattern
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",Hidden costs
Chatting,Not Dark Pattern
Specialist Tools,Not Dark Pattern
 Menu Search ,Not Dark Pattern
 Fashion Bags ,Not Dark Pattern
"No thanks, I don't like discounts",Forced continuity
Going Fast: Limited Quantities Left!,Bait and switch
 This is a green tea without the bitterness. ,Not Dark Pattern
Spring Styles ,Not Dark Pattern
Rate & Review ,Not Dark Pattern
"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections, then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month, then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat.",Sneaking 
Only 498 left,Bait and switch
Cooper Remotes,Not Dark Pattern
Over 38 bought,Sneaking 
 Mitre Saws ,Not Dark Pattern
Christian Dior,Not Dark Pattern
Share this product,Not Dark Pattern
 Space Heaters & Workshop Heaters ,Not Dark Pattern
Hurry! Only a few of these left,Bait and switch
Only 2 Left!,Bait and switch
Animals & Action Figures,Not Dark Pattern
only 2 left,Bait and switch
Only 1 Item Left!,Bait and switch
HAUTELOOK 04:53,Hidden costs
Only 1 item left,Bait and switch
 WANNA COLLAB? ,Not Dark Pattern
 PopTop Refine by Product Type: PopTop ,Not Dark Pattern
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Hidden costs
Earn FanCash on all purchases!,Not Dark Pattern
Bob's Outreach ,Not Dark Pattern
Cleaning Brushes & Tools,Not Dark Pattern
Sunwayfoto,Not Dark Pattern
85 have it in their cart,Sneaking 
"If you wish to cancel your subscription, you can email us at getflat@flattummyco.com",Sneaking 
No thanks. I'd rather pay full price.,Forced continuity
Only 3 pieces in stock!,Bait and switch
ONLY 3 LEFT IN STOCK.,Bait and switch
Free Embroidery Patterns,Not Dark Pattern
Mixing & Measuring,Not Dark Pattern
"Members may cancel their Membership at any time during their Membership term and receive a full refund, less any benefits/savings received in their current Membership term (for example, Buyer’s Club Discounts received or free shipping). Refunds for completed years completed will not be made, even if the Member did not use any of the benefits during the Membership term. To cancel your membership, please contact our customer service department by contacting us at 1-800-375-3006.",Sneaking 
"To qualify, simply verify your status during checkout on the payment step. We verify through ID.me, our trusted technology partner for secure digital identity verification. ",Not Dark Pattern
"no thanks, I'll save money another day",Forced continuity
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Sneaking 
Only 2 Left In Stock,Bait and switch
 Best-Selling Products ,Not Dark Pattern
LIMITED TIME ONLY!,Hidden costs
 Subscribe! Don’t be caught empty handed ,Not Dark Pattern
 Add to Cart ,Not Dark Pattern
"Now 30% off - hurry, limited time offer!",Hidden costs
The requested page could not be found,Not Dark Pattern
 View In Your Room ,Not Dark Pattern
 EVO SP All EVO SP parts and accessories ,Not Dark Pattern
 Circa Punches ,Not Dark Pattern
 Riding Culture Neue Lifestyle-Marke bei motoin ,Not Dark Pattern
Ericdress Long Sleeve Mesh Off Shoulder Summer Dress,Not Dark Pattern
Green Tea is made up of properties that have been known to increase caloric expenditure as well as the metabolism of fat,Not Dark Pattern
COLLEGIATE,Not Dark Pattern
Sparkling Elegance,Not Dark Pattern
"To add to Wishlist, please register or sign in.",Not Dark Pattern
HURRY! Only a few left in stock!,Bait and switch
 New In Lunch Boxes ,Not Dark Pattern
 Cayman Islands USD,Not Dark Pattern
"No Thanks, I rather pay full price",Forced continuity
 View All Shoes ,Not Dark Pattern
Someone from Airdrie & 10820 others bought this item recently.,Sneaking 
Rachel Comey,Not Dark Pattern
52 people are looking at this right now.,Sneaking 
1 day 08:15:25,Hidden costs
"estiven in Deer Park, United States purchased PreWash™ 4 oz",Sneaking 
